Presión [psia]	2600.82	2600	2300	2000	1700	1400	1100	800	500	200	14.7
Metano	0.7789	0.7789	0.7768	0.7725	0.7655	0.7540	0.7354	0.7033	0.6414	0.4880	0.1626
Etano	0.1045	0.1045	0.1074	0.1113	0.1164	0.1234	0.1335	0.1490	0.1747	0.2163	0.1586
Propano	0.0463	0.0463	0.0472	0.0486	0.0507	0.0539	0.0593	0.0688	0.0884	0.1432	0.2113
Isobutano	0.0067	0.0067	0.0067	0.0068	0.0070	0.0073	0.0079	0.0091	0.0119	0.0216	0.0526
n-Butano	0.0152	0.0152	0.0151	0.0152	0.0155	0.0162	0.0175	0.0202	0.0265	0.0496	0.1464
n-pentano	0.0065	0.0065	0.0064	0.0063	0.0062	0.0063	0.0066	0.0075	0.0096	0.0186	0.0864
Isopentano	0.0044	0.0044	0.0042	0.0041	0.0041	0.0041	0.0043	0.0048	0.0061	0.0119	0.0618
n-hexano	0.0060	0.0060	0.0056	0.0052	0.0050	0.0048	0.0048	0.0051	0.0063	0.0120	0.0928
Dióxido de carbono	0.0169	0.0169	0.0175	0.0182	0.0191	0.0202	0.0218	0.0240	0.0271	0.0305	0.0182
Ácido Sulfhídrico	0.0020	0.0020	0.0020	0.0021	0.0023	0.0025	0.0027	0.0032	0.0040	0.0058	0.0058
Nitrogeno	0.0093	0.0093	0.0087	0.0081	0.0074	0.0066	0.0058	0.0048	0.0036	0.0021	0.0005
Heptano Plus	0.0035	0.0035	0.0024	0.0016	0.0011	0.0007	0.0005	0.0003	0.0003	0.0003	0.0029
