T [R]	P [psia]	Vl cft	Vg cft	?Gp scft	Gp Acumulado scft	?np/nt
660	2600.82	2.0629	0.0000	0.0000	0.0000	0
660	2600	2.0627	0.0004	0.0682	0.0682	0.0002
660	2300	1.9639	0.2415	36.1152	36.1834	0.095190367
660	2000	1.8767	0.2474	32.0224	68.2058	0.0844
660	1700	1.7992	0.2626	28.6218	96.8275	0.075439532
660	1400	1.7286	0.2943	26.0404	122.8679	0.0686
660	1100	1.6630	0.3526	24.0610	146.9289	0.0634
660	800	1.6003	0.4687	22.7270	169.6559	0.0599
660	500	1.5364	0.7620	22.4680	192.1239	0.0592197
660	200	1.4535	2.3350	26.5927	218.7165	0.0701
660	14.7	1.2825	51.9361	41.3942	260.1107	0.109104327
520	14.7	1.2284	0.0000	0.0000	260.1107	0.0000
