P [psia]	Vl [ft^3]	Vg [ft^3]	Vgr [ft^3]	Vge [ft^3]	Gp [ft^3]	Gp Acumulado [ft^3]
2600.820717	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
2600	0.99991688	0.00019536	0.00008312	0.00011224	0.01899448	0.01899448
2300	0.95200741	0.11715891	0.04799259	0.06916632	10.34992973	10.36892422
2000	0.90970571	0.17565613	0.09029429	0.08536184	11.05331724	21.42224146
1700	0.87173885	0.23574683	0.12826115	0.10748569	11.71579287	33.13803433
1400	0.83688910	0.30300386	0.16311090	0.13989296	12.37409529	45.51212962
1100	0.80413526	0.38698998	0.19586474	0.19112524	13.02570205	58.53783166
800	0.77232355	0.51148976	0.22767645	0.28381331	13.73029393	72.26812559
500	0.73936251	0.76254943	0.26063749	0.50191194	14.74138278	87.00950837
200	0.69695853	1.85248562	0.30304147	1.54944415	17.54577407	104.55528244
14.7	0.61962233	27.67463504	0.38037767	27.29425736	21.73710803	126.29239047
