Presi? [psia]	Temperatura [R]	?o	Mo	Fl	Fv	Metano	Etano	Propano	Isobutano	n-Butano	n-pentano	Isopentano	n-hexano	Di?ido de carbono	?cido Sulfh?rico	Nitrogeno	Heptano Plus
2600.82	660	0.610365047	78.6032704	1	0	0.7789	0.104469	0.046266	0.006696	0.015158	0.006545	0.004359	0.005967	0.016898	0.001961	0.00931	0.003472
2600	660	0.610385059	78.61343708	0.999820346	0.000179654	0.7789	0.104474	0.046267	0.006695	0.015157	0.006545	0.004358	0.005966	0.016899	0.001961	0.009309	0.003469
2300	660	0.624134601	84.58599317	0.904792528	0.095190367	0.776763	0.107442	0.047173	0.006715	0.015116	0.006378	0.004219	0.005584	0.017467	0.002035	0.008717	0.002391
2000	660	0.637413636	91.04753225	0.906699219	0.084402684	0.772304	0.111485	0.048607	0.006799	0.015219	0.006262	0.004114	0.005248	0.018209	0.002138	0.007995	0.00162
1700	660	0.650225587	98.05689162	0.908026064	0.075439532	0.764696	0.117056	0.050807	0.006976	0.01553	0.006218	0.004055	0.00497	0.019193	0.002283	0.007136	0.00108
1400	660	0.662750603	105.7717608	0.907845203	0.068635765	0.752046	0.125056	0.054313	0.00732	0.016212	0.006305	0.00408	0.004791	0.020543	0.002494	0.006126	0.000716
1100	660	0.675120695	114.3901455	0.906206846	0.063418429	0.73077	0.137115	0.060167	0.007973	0.01758	0.006634	0.004259	0.004778	0.022466	0.002819	0.004961	0.00048
800	660	0.687539808	124.2499683	0.902237149	0.05990258	0.692842	0.156611	0.070819	0.009276	0.020403	0.007477	0.004764	0.005099	0.025357	0.003363	0.003652	0.000337
500	660	0.700487091	136.1167847	0.892879195	0.0592197	0.616522	0.191453	0.093552	0.012311	0.027134	0.009713	0.006148	0.006284	0.029958	0.004412	0.002245	0.000269
200	660	0.716405015	153.4864564	0.858002872	0.070091385	0.41952	0.255029	0.16243	0.023295	0.052642	0.019124	0.012113	0.012027	0.035726	0.006918	0.000854	0.000324
14.7	660	0.741815095	188.8931887	0.742386778	0.109104327	0.084918	0.166981	0.241094	0.059253	0.163356	0.093711	0.066501	0.096683	0.017965	0.006541	0.000081	0.002917
